id,flags_isPublicSale,flags_isNewClassified,flags_isNewPrice,flags_isInvestmentProject,flags_isNewlyBuilt,flags_isNotarySale,flags_isLifeAnnuitySale,flags_adQuality,flags_date,flags_priceSqm,flags_price,flags_default,flags_isSoldOrRented,flags_isLowEnergy,flags_percentSold,flags_isPassiveHouse,flags_isNewRealEstateProject,flags_isAnInteractiveSale,flags_isUnderOption,property_type,property_subtype,property_bedroomCount,property_bedrooms,property_bathroomCount,property_bathrooms,property_location_postalCode,property_location_floor,property_location_latitude,property_location_longitude,property_isHolidayProperty,property_location_type,property_location_hasSeaView,property_location_pointsOfInterest,property_netHabitableSurface,property_roomCount,property_attic,property_hasAttic,property_basement_surface,property_hasBasement,property_hasDressingRoom,property_diningRoom,property_hasDiningRoom,property_building_annexCount,property_building_condition,property_building_constructionYear,property_building_facadeCount,property_building_floorCount,property_building_streetFacadeWidth,property_propertyCertificates_builtPlanStatus,property_propertyCertificates_globalInsulationLevel,property_propertyCertificates_oilTankCertificateStatus,property_propertyCertificates_primaryEnergyConsumptionLevel,property_propertyCertificates_hasAsbestosCertificate,property_propertyCertificates_hasElectricalInstallationComplianceCertificate,property_hasCaretakerOrConcierge,property_hasDisabledAccess,property_hasLift,property_constructionPermit_constructionType,property_constructionPermit_floodZoneType,property_constructionPermit_isObtained,property_constructionPermit_hasObligationToConstruct,property_constructionPermit_hasPlotDivisionAuthorization,property_constructionPermit_hasPossiblePriorityPurchaseRight,property_constructionPermit_isBreachingUrbanPlanningRegulation,property_constructionPermit_floodZoneIconUrl,property_constructionPermit_totalBuildableGroundFloorSurface,property_constructionPermit_urbanPlanningInformation,property_constructionPermit_pScore,property_constructionPermit_gScore,property_energy_heatingType,property_energy_hasHeatPump,property_energy_hasPhotovoltaicPanels,property_energy_hasThermicPanels,property_energy_hasCollectiveWaterHeater,property_energy_hasDoubleGlazing,property_energy_performance,property_kitchen_surface,property_kitchen_type,property_kitchen_hasOven,property_kitchen_hasMicroWaveOven,property_kitchen_hasDishwasher,property_kitchen_hasWashingMachine,property_kitchen_hasFridge,property_kitchen_hasFreezer,property_kitchen_hasSteamOven,property_land,property_laundryRoom,property_hasLaundryRoom,property_livingRoom,property_hasLivingRoom,property_hasBalcony,property_hasBarbecue,property_hasGarden,property_gardenSurface,property_gardenOrientation,property_parkingCountIndoor,property_parkingCountOutdoor,property_parkingCountClosedBox,property_hasAirConditioning,property_hasArmoredDoor,property_hasVisiophone,property_hasSecureAccessAlarm,property_hasCableTV,property_hasDoorPhone,property_hasInternet,property_showerRoomCount,property_showerRooms,property_specificities_hasOffice,property_specificities_office,property_specificities_hasWorkspace,property_specificities_workspace,property_toiletCount,property_toilets,property_hasFitnessRoom,property_hasTennisCourt,property_hasSwimmingPool,property_hasSauna,property_hasJacuzzi,property_hasHammam,property_bedroomSurface,property_habitableUnitCount,property_hasTerrace,property_terraceSurface,property_terraceOrientation,transaction_type,transaction_subtype,transaction_certificates_carbonEmission,transaction_certificates_primaryEnergyConsumptionPerSqm,transaction_certificates_primaryEnergyConsumptionYearly,transaction_certificates_epcReference,transaction_certificates_epcScore,transaction_certificates_renovationObligation,transaction_rental,transaction_sale_price,transaction_sale_cadastralIncome,transaction_sale_publicSale,transaction_sale_pricePerSqm,transaction_sale_isFurnished,transaction_sale_homeToBuild
20432741,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,mixed_use_building,7,[],4,[],6040,none,none,none,none,none,none,none,750,none,none,none,none,true,none,none,none,none,as_new,none,2,none,18,,,,,,,none,none,none,none,none,none,none,none,none,none,none,430,none,none,none,gas,none,none,none,none,true,none,none,hyper_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 18, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 500}",{'surface': none},true,none,False,none,none,none,none,none,none,none,none,none,none,true,true,true,true,none,4,[],true,none,none,none,5,[],none,none,none,none,none,none,none,none,true,15,none,for_sale,buy_regular,14,72,4543,20241014028023,a,none,none,789000,4233,none,none,false,none
20670301,False,False,false,False,False,true,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,2,[],1,[],6040,none,50.4499888,4.4158678,none,none,none,none,none,none,"{'isisolated': none, 'isaccessiblewithfixedstairs': none, 'surface': none}",true,,none,none,none,none,,,,,,,none,none,not_specified,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,gas,false,none,none,none,none,none,,,,,,,,,,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 380}",none,none,none,True,none,none,none,none,none,1,none,none,none,none,none,none,none,none,none,none,[],true,none,none,none,1,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,463,59174,20160322019484,f,none,none,160000,672,none,none,none,none
11451485,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,3,[],none,[],6040,none,50.4457141,4.4494273,none,none,none,none,160,none,none,none,,none,none,none,none,,,,,,,none,none,none,505,none,none,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,,,,,,,,,,,,,,,,,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 251}",none,none,none,False,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,[],,,,,1,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,126,none,82546,20240220021391,f,none,none,140000,0,none,none,none,none
20534680,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,3,[],1,[],6040,none,50.431683,4.424447499999999,none,none,none,none,160,none,none,none,,none,none,none,none,,,,,,,none,none,none,434,none,none,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,,,,,,,,,,,,,,,,,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 520}",none,none,none,False,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,[],,,,,2,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,79,none,95154,20250203025161,f,none,none,145000,0,none,none,none,none
20528467,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,mansion,3,[],2,[],6040,none,50.4336672,4.4151614,none,fitted_out,none,none,none,none,"{'isisolated': true, 'isaccessiblewithfixedstairs': none, 'surface': none}",true,none,true,false,{'surface': none},true,none,good,none,2,2,none,none,none,not_specified,none,none,none,false,false,false,all_kind,none,none,none,none,none,none,none,0,none,none,none,none,false,false,false,false,true,none,none,usa_installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': false, 'isfacingstreet': false, 'isflat': false, 'iswooded': false, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 0}",{'surface': none},true,none,True,none,none,true,1,none,none,none,none,false,false,false,false,false,false,true,2,[],true,none,true,none,3,[],none,none,false,false,false,none,none,none,true,1,none,for_sale,buy_regular,56,309,58378,20201231005605,d,none,none,250000,1509,none,none,none,none
20551893,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,True,house,house,3,"[{'surface': 15}, {'surface': 13}]",1,[],6040,none,none,none,none,none,none,none,120,none,none,none,,none,none,none,none,none,good,none,2,none,none,,,,,,,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,gas,none,none,none,none,none,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 2700}",none,none,none,False,none,none,true,2600,none,1,1,none,none,none,none,none,true,none,none,1,[],,,,,1,[],none,none,none,none,none,none,none,none,true,25,none,for_sale,buy_regular,none,263,38302,20250228000100,d,none,none,215000,0,none,none,false,none
20181193,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,True,house,mixed_use_building,0,[],1,[],6040,none,none,none,none,none,none,none,none,none,none,none,none,true,none,none,none,none,good,none,2,none,none,,,,,,,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,none,none,none,none,none,true,none,,,,,,,,,,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 0}",none,none,none,False,none,none,none,none,none,1,none,none,none,none,none,none,true,none,none,none,[],,,,,none,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,90,489,44406,20230625001632,f,none,none,224900,0,none,none,false,none
20579403,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,apartment_block,2,"[{'surface': 12}, {'surface': 13}]",3,[],6040,none,none,none,none,none,none,none,140,none,none,none,,none,none,none,none,none,good,none,2,none,none,,,,,,,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,fueloil,none,none,none,none,true,none,,,,,,,,,,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 5, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 341}",none,none,none,False,none,none,true,265,none,none,none,none,none,none,none,none,none,none,none,2,[],,,,,3,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,85,333,14821,20240415013788,d,none,none,199000,0,none,none,none,none
20228733,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,True,apartment,apartment,2,[],1,[],6040,1,50.4382666,4.435587,none,none,none,none,105,none,"{'isisolated': none, 'isaccessiblewithfixedstairs': none, 'surface': none}",true,,none,none,none,none,none,good,none,none,2,none,none,none,not_specified,0,false,none,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,fueloil,none,none,none,none,true,none,,,,,,,,,,none,none,none,{'surface': 31},True,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,[],,,,,1,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,none,405,43696,20240918020546,e,none,none,70000,0,none,none,none,none
20260151,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,True,house,house,5,[],none,[],6040,none,none,none,none,none,none,none,none,none,none,none,,none,none,none,none,none,to_be_done_up,none,3,none,none,,,,,,,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,,,,,,,,,,,,,,,,,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 0}",none,none,none,False,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,[],,,,,none,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,56,304,75887,20230106011144,d,none,none,199000,0,none,none,none,none
